name,lat,long
한성대입구역,37.589054,127.004839
잠실시그마타워,37.514567,127.102493
문정법원로R,37.487447,127.119164
송파개롱역,37.496956,127.13652
문정하비오,37.481925,127.123446
문정역,37.484813,127.122237
잠실대교남단R,37.515511,127.099006
송파위례,37.478264,127.144067
송파방이DT,37.506564,127.120495
송파구청,37.514573,127.107404
올림픽평화의문,37.5156426,127.11648190000005
송파아이파크,37.479892,127.122379
송파사거리,37.5022788,127.1103904
석촌서호,37.5063929,127.0964684
문정로데오,37.491905,127.1262696
올림픽훼미리,37.491626,127.116308
올림픽공원남문,37.5133,127.123113
방이역,37.508666,127.126569
석촌호수,37.509581,127.104993
잠실푸르지오월드,37.517649,127.103426
잠실새내역,37.511679,127.081062
잠실역,37.515272,127.099231
갤러리아팰리스,37.51108365,127.0938059
아시아선수촌,37.51052862,127.0790472
올림픽아파트,37.515315,127.133237
가락본동,37.494895,127.118785
석촌역,37.5042626,127.10610769999994
가락시장역,37.494299,127.121354
가든파이브,37.4782316,127.11937030000001
등촌역,37.548884,126.868070
목동행복한,37.529147,126.876099
신정DT,37.521993,126.858865
목동역,37.526684,126.863986
목동오목로,37.525923,126.868438
목동8단지,37.520518,126.868841
오목교역,37.5235882,126.87652120000007
신월IC DT,37.5294984,126.831983
목동7단지,37.528012,126.87053
목동하이페리온,37.524931,126.870316
목동5단지,37.536706,126.88212
목동,37.53638383,126.8785597
현대목동,37.526848,126.875023
목동파라곤,37.52947,126.874996
당산대로,37.533121,126.903804
여의도IFC몰(L1)R,37.525127,126.925508
여의도KBS R,37.526596,126.918456
여의도화재보험,37.521345,126.926004
국회대로,37.530260,126.919549
영등포KT,37.526792,126.904706
여의도공원R,37.529231,126.924872
국회의사당역,37.527831,126.916882
선유도역,37.537268,126.894594
여의도역,37.523328,126.923439
선유동이레빌딩,37.534109,126.896912
동여의도,37.5199494,126.9317957
여의도ABL타워,37.518749,126.92779
영등포신길DT,37.504566,126.910073
문래역,37.517428,126.896475
당산,37.535164,126.899942
여의도한양증권,37.522418,126.929093
여의도일신,37.528,126.920103
신세계영등포B2,37.517162,126.905608
하이테크시티,37.51467062,126.8986474
당산역,37.5344337,126.90187630000002
서여의도,37.52958977,126.920272
여의도,37.52403519,126.9245179
여의도미래에셋대우,37.52226158,126.9296464
롯데캐슬여의도,37.52025214,126.9263678
문래동,37.519602,126.889652
신세계영등포B,37.517162,126.905608
여의도호성,37.520176,126.929426
타임스퀘어B2,37.516985,126.903387
영등포본동,37.518713,126.909559
타임스퀘어,37.516985,126.903387
여의도의사당,37.530023,126.92109
여의도IFC(1F),37.525273,126.924668
구파발사거리,37.639617,126.91881 
연신내역사거리,37.618620,126.922062
연신내,37.620417,126.919913
구파발역,37.63446,126.918881
은평구청입구,37.601042,126.926789
은평이마트,37.60037923,126.9202735
연신내역,37.617784,126.920049
구산역,37.611745,126.917678
혜화역,37.5824779,127.0021850
종로평창동,37.606149,126.967213
광화문우체국,37.569854,126.978083
더종로R,37.570804,126.983494
독립문역,37.571432,126.961269
정부서울청사R,37.574411,126.973571
동묘앞역,37.572700,127.016072
종로구청,37.572662,126.981138
